ID | Anime Adı | Yayın Yılı
==================================================
ID: 1 | Sword Art Online Movie: Ordinal Scale | 2017
ID: 6 | Kuroko no Basket | 2012
ID: 8 | One Punch Man | 2015
ID: 11 | Kimi no Na wa. | 2016
ID: 17 | Tokyo Ghoul | 2014
ID: 21 | Shigatsu wa Kimi no Uso | 2014
ID: 23 | Gintama | 2006
ID: 25 | Shingeki no Kyojin | 2013
ID: 31 | Yuri!!! on Ice | 2016
ID: 36 | Ballroom e Youkoso | 2017
ID: 38 | Hajime no Ippo | 2000
ID: 40 | Yowamushi Pedal | 2013
ID: 42 | Major S1 | 2004
ID: 48 | Akatsuki no Yona | 2014
ID: 54 | Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka | 2015
ID: 56 | No Game No Life | 2014
ID: 58 | Fairy Tail | 2009
ID: 60 | Sword Art Online | 2012
ID: 64 | Kono Subarashii Sekai ni Shukufuku wo! | 2016
ID: 66 | One Piece | 1999
ID: 68 | Death Parade | 2015
ID: 70 | Overlord | 2015
ID: 76 | Log Horizon | 2013
ID: 78 | 3-gatsu no Lion | 2016
ID: 82 | Bleach | 2004
ID: 84 | Dragon Ball | 1986
ID: 90 | Boku no Hero Academia | 2016
ID: 124 | 18if | 2017
ID: 125 | 07-Ghost | 2009
ID: 128 | 30-sai no Hoken Taiiku | 2011
ID: 129 | 3D Kanojo: Real Girl | 2018
ID: 131 | Persona 5 the Animation | 2018
ID: 132 | Island | 2018
ID: 133 | Darling in the FranXX | 2018
ID: 135 | Dies Irae | 2017
ID: 136 | Mononoke Hime | 1997
ID: 137 | Great Teacher Onizuka | 1999
ID: 147 | Rakudai Kishi no Cavalry | 2015
ID: 151 | Yu☆Gi☆Oh! 5D's: Shinkasuru Kettou! Stardust vs. Red Demon's | 2008
ID: 152 | Sword Gai The Animation | 2018
ID: 154 | Beelzebub | 2011
ID: 157 | Hellsing | 2001
ID: 162 | Absolute Duo | 2015
ID: 163 | A-Channel | 2011
ID: 165 | Accel World | 2012
ID: 167 | Acchi Kocchi (TV) | 2012
ID: 168 | Ah! My Goddess: Flights of Fancy | 2005
